_key,lat,lng
620187,30.8027762,-81.5744666
620189,30.7976425,-81.6537969
620192,30.9638429,-81.7226063
620193,30.8001845,-81.7134905
620195,30.7772542,-81.6647178
620197,30.8017918,-81.5935706
620295,30.8185506,-81.6463858
620495,30.7701398,-81.5905725
621101,32.3641457,-82.0533552
621102,32.3613443,-82.0515632
621302,32.3613443,-82.0515632
622100,33.6478662,-85.0483919
622101,33.5270378,-85.2494051
622102,33.7470851,-85.0270001
622115,33.7476708,-85.0242393
622176,33.602953,-85.152423
622177,33.5387269,-85.0667734
622189,33.7322135,-85.0253761
622198,33.6920989,-84.9384233
622208,33.6379197,-85.1843037
622212,33.6025176,-85.1567868
622305,33.7808133,-84.9696443
622377,33.4618532,-85.1299106
622405,33.6776813,-84.94252
622477,33.497287,-84.917517
622605,33.7272147,-84.9131249
622705,33.7345625,-84.9266296
623100,34.9005002,-85.1416163
623102,34.9443263,-85.2326212
623103,34.9448233,-85.2299515
623105,34.7768248,-85.1602505
623109,34.8958815,-85.1927248
623185,34.903149,-85.0721034
623205,34.8918935,-85.1931788
624112,30.8122934,-82.0145284
624199,30.8248368,-82.0098141
624287,30.8453465,-82.0017403
625101,32.0322249,-81.058516
625109,32.0303533,-81.1820274
625115,32.0949259,-81.1412409
625116,31.9967621,-81.1558852
625117,32.0745176,-81.3205154
625118,31.995574,-81.0762418
625124,31.995935,-81.1164184
625125,32.004192,-80.8450011
625128,32.0593342,-81.0878193
625191,32.070731,-81.085854
625192,32.073789,-81.1036607
625194,31.9755212,-81.2289097
625197,32.0909324,-81.1672562
625199,32.0935245,-81.2589385
625200,32.0949492,-81.2629821
625201,32.0763392,-81.0925851
625210,32.0628581,-81.0573534
625211,32.1732204,-81.2334247
625298,32.0393192,-81.011008
625299,31.998288,-81.263368
625300,32.0000724,-81.2615372
625301,32.0324035,-81.0701463
625311,32.0403825,-81.0123997
625411,32.0375257,-81.0070004
625499,32.0459932,-81.092884
625511,32.0621083,-81.0666688
625512,32.219031,-81.1944709
625513,32.0628581,-81.0573534
625514,32.0259072,-81.0807887
625515,32.059976,-81.099466
625516,32.0593342,-81.0878193
626101,32.3021242,-84.7674799
626106,32.3124441,-84.7559158
626206,32.3124441,-84.7559158
627106,34.5101242,-85.3312824
627111,34.4656542,-85.3581936
628101,34.096729,-84.5700407
628104,34.1092131,-84.5203654
628105,34.2389112,-84.4728
628106,34.2325453,-84.3338329
628108,34.2147578,-84.3945295
628113,34.1174646,-84.4787849
628115,34.1158191,-84.4807524
628116,34.1992281,-84.4578349
628176,34.1158561,-84.5627702
628181,34.1183692,-84.5613637
628182,34.1319959,-84.4930684
628187,34.1736865,-84.4245701
628189,34.1309175,-84.5908481
628190,34.1392554,-84.4066789
628191,34.171725,-84.4297129
628193,34.172479,-84.5541591
628196,34.1304358,-84.5784301
628197,34.1009132,-84.5411394
628198,34.3389465,-84.5292368
628199,34.173,-84.4712216
628203,34.1911319,-84.5352428
628205,34.1933796,-84.5331952
628213,34.3324771,-84.3840198
628287,34.2627398,-84.4829658
628297,34.1008088,-84.5415648
628305,34.2359303,-84.3333338
628309,34.1055776,-84.474001
628313,34.0881656,-84.6417814
628397,34.1084404,-84.4379181
628505,34.2394059,-84.2897188
628509,34.2159837,-84.5324158
629102,33.9230531,-83.331928
629104,33.9497051,-83.3999699
629105,33.9449354,-83.4072708
629112,34.0102946,-83.3449576
629178,33.9373181,-83.4457635
629191,33.967696,-83.505677
629196,33.9878673,-83.2972636
629205,33.9297527,-83.3371068
629291,33.9731721,-83.3576192
629296,33.9899363,-83.4735458
630104,31.6205654,-85.0428695
630204,31.6205654,-85.0428695
631100,33.5220398,-84.331199
631103,33.5368158,-84.3932159
631104,33.4914652,-84.3839377
631105,33.5937354,-84.3181277
631106,33.520308,-84.3485359
631107,33.5644337,-84.3868116
631109,33.5564108,-84.2951056
631114,33.5389038,-84.3257415
631115,33.5868138,-84.395843
631116,33.4301772,-84.3601404
631117,33.5941595,-84.3197718
631173,33.5484009,-84.3574277
631174,33.4862188,-84.3512575
631175,33.4951647,-84.363765
631176,33.5558499,-84.2933375
631177,33.5896534,-84.2862233
631181,33.5229072,-84.4116857
631190,33.4446863,-84.3379359
631191,33.4430302,-84.3399082
631195,33.4200186,-84.3896341
631197,33.5366617,-84.387879
631199,33.4617763,-84.3662805
631200,33.5816867,-84.2874318
631203,33.5645303,-84.3889465
631204,33.6078489,-84.4123151
631205,33.4538513,-84.3570803
631207,33.5814746,-84.2827687
631215,33.5560605,-84.3064533
631276,33.5787838,-84.4447835
631277,33.5209044,-84.4117678
631290,33.5545272,-84.3098552
631295,33.5394481,-84.432283
631304,33.5466591,-84.3408634
631305,33.4555136,-84.3571625
631307,33.6322613,-84.3712292
631377,33.5564865,-84.4036726
631378,33.5242685,-84.3588876
631379,33.4301772,-84.3601404
631380,33.5220014,-84.3308917
632101,31.0433689,-82.7716907
632201,31.0433689,-82.7716907
633101,33.9980959,-84.6186921
633102,33.7904179,-84.5613637
633103,34.0638382,-84.5128792
633104,34.0021352,-84.6569034
633107,34.0647176,-84.6811721
633109,34.0289511,-84.7353961
633114,33.9758302,-84.4390925
633117,33.8412034,-84.6336465
633118,33.8245602,-84.584032
633173,33.8791436,-84.5756883
633175,33.9902634,-84.4395847
633178,34.0598492,-84.4702582
633180,33.9333151,-84.6640952
633181,34.0173573,-84.4207133
633184,34.0468019,-84.5043575
633185,34.0499636,-84.4361596
633187,34.058934,-84.4952093
633188,34.0246236,-84.4521668
633189,34.0565527,-84.6205425
633190,33.9025354,-84.6336056
633191,33.8942191,-84.6925267
633192,33.9670868,-84.6830931
633194,33.9909271,-84.6307438
633197,33.9605868,-84.7245362
633198,34.045266,-84.5616093
633199,33.8436329,-84.5157468
633202,33.8135786,-84.5537736
633203,33.9300834,-84.7020008
633204,34.0655817,-84.5914822
633207,33.8153959,-84.6342188
633209,34.0350518,-84.7359638
633214,33.8909425,-84.521717
633273,34.000883,-84.5099295
633275,33.9910284,-84.4449988
633278,33.9796295,-84.4175128
633280,33.9882342,-84.6327062
633281,33.9692933,-84.416734
633287,34.0146491,-84.6732471
633288,34.0282474,-84.4729127
633289,34.0257412,-84.4922693
633290,33.8749285,-84.4981293
633291,34.035166,-84.4384362
633292,33.9867931,-84.7199645
633294,33.8879814,-84.6127523
633297,34.0251942,-84.7024091
633298,33.9216188,-84.6208492
633299,34.0262489,-84.7006941
633302,34.0575101,-84.6529802
633304,34.0292779,-84.6403098
633307,33.7886321,-84.5682399
633309,33.8186586,-84.5095198
633373,34.012117,-84.4971459
633375,34.0067406,-84.4623863
633378,34.0473246,-84.4791948
633381,34.0446443,-84.4745627
633388,34.073416,-84.4787849
633389,34.0327728,-84.4778011
633391,34.0519535,-84.505095
633394,34.017435,-84.4377799
633397,33.904497,-84.5357342
633398,33.8487951,-84.5993367
633399,34.0365909,-84.5263967
633402,33.8277099,-84.6745544
633404,34.031119,-84.6287814
633407,34.059911,-84.6523263
633475,33.8760209,-84.6686305
633478,33.9360061,-84.4533652
633489,33.8537206,-84.6807637
633491,33.9952394,-84.4056939
633499,33.9705513,-84.6895862
633502,33.8423064,-84.6340144
633504,34.0275435,-84.5966369
633507,34.0042187,-84.6569034
633592,33.7925437,-84.5780618
633602,34.0520947,-84.5688948
633607,33.9263281,-84.664514
633707,33.9264072,-84.6674219
633808,33.9155619,-84.5459586
634100,31.4891692,-82.8967785
634102,31.5960974,-83.0072349
634108,31.5142256,-82.8701595
634114,31.4988155,-82.858478
634182,31.4493058,-82.7961362
634191,31.6218612,-82.8831571
634195,31.5522282,-82.8611803
634282,31.5151987,-82.8405439
634291,31.5172298,-82.6401688
634308,31.4963744,-82.8451725
635111,31.1710714,-83.7941514
635112,31.1706229,-83.7640635
635178,31.3275392,-83.9178072
635187,31.1163018,-83.6652701
635278,31.2705437,-83.6916734
636101,33.5883299,-82.1871678
636102,33.5155054,-82.2001657
636103,33.45333,-82.2201252
636106,33.5735603,-82.1079396
636107,33.5319894,-82.159635
636108,33.5602527,-82.0806314
636112,33.4980071,-82.2359189
636173,33.4958869,-82.1465021
636183,33.4715476,-82.3160561
636186,33.5406819,-82.1554701
636188,33.5375938,-82.1064405
636189,33.5378201,-82.1009646
636190,33.4839068,-82.1544501
636192,33.5506625,-82.0806079
636193,33.5728972,-82.1166148
636194,33.5805217,-82.1326016
636197,33.588837,-82.1922765
636208,33.4561329,-82.2190212
636212,33.497145,-82.2396864
636283,33.4775884,-82.3172473
636290,33.5359398,-82.101475
636297,33.5869759,-82.1891219
636397,33.4764189,-82.2677503
636398,33.5517904,-82.2018646
637101,31.155132,-83.4383472
637104,31.1539988,-83.4337834
637111,31.1331492,-83.3837397
637196,31.1667722,-83.4083971
638101,33.466193,-84.692445
638103,33.3619324,-84.6488116
638106,33.3621288,-84.6513455
638115,33.493144,-84.789245
638189,33.3949313,-84.7020416
638191,33.4648547,-84.648035
638192,33.3757487,-84.7484091
638195,33.3998635,-84.772109
638196,33.4704552,-84.6632882
638199,33.3425999,-84.6900951
638201,33.3615593,-84.7136778
638203,33.2341203,-84.8274808
638289,33.3034222,-84.5998276
638295,33.4085615,-84.6682191
638299,33.4373954,-84.759577
638301,33.3631943,-84.8450741
638389,33.3493574,-84.6602951
638395,33.3927186,-84.7024091
639192,32.7283203,-84.0072403
639193,32.7200148,-84.0045134
639202,32.7311726,-84.0080666
640115,31.9234516,-83.7526149
640196,31.9468102,-83.7531959
640197,31.9529398,-83.7631313
641101,34.8734265,-85.5121371
641195,34.8615981,-85.5089881
641275,34.8853602,-85.5488674
641295,34.8723699,-85.518495
642103,34.3676905,-84.0157509
642106,34.3547114,-84.1153103
642109,34.4200486,-84.1130488
642111,34.3519507,-84.1172658
642189,34.4209719,-84.1045037
642198,34.4141224,-84.1031138
642199,34.352702,-84.0825547
643105,30.9322381,-84.6153696
643116,30.8833823,-84.477094
643191,30.8998357,-84.5741341
644100,33.6668644,-84.2264799
644102,33.7881322,-84.1111034
644103,33.6615264,-84.1984157
644105,33.7096273,-84.1489549
644107,33.6588801,-84.160248
644108,33.7615009,-84.1144029
644113,33.7515181,-84.2329838
644172,33.676461,-84.2944477
644173,33.946391,-84.311933
644175,33.9595754,-84.3357171
644176,33.7586988,-84.178296
644181,33.7695479,-84.1796144
644188,33.7290281,-84.1690666
644189,33.9311654,-84.2967915
644190,33.7727772,-84.1201355
644191,33.6767678,-84.1887598
644193,33.6797072,-84.2161875
644197,33.7299342,-84.1525512
644200,33.6871379,-84.2955991
644201,33.7818202,-84.196421
644202,33.7250671,-84.1294961
644203,33.7147739,-84.1106909
644205,33.7416945,-84.1571982
644214,33.9412993,-84.3084266
644215,33.7695937,-84.2708817
644272,33.7885907,-84.1979861
644275,33.6764346,-84.2967093
644276,33.8106076,-84.2020222
644288,33.9151399,-84.3203061
644290,33.8916231,-84.2710874
644291,33.6769389,-84.1720334
644293,33.7636306,-84.1445854
644297,33.6889998,-84.1845534
644301,33.6975526,-84.2534789
644305,33.6800344,-84.2690718
644309,33.7436141,-84.2660276
644311,33.6989367,-84.1364228
644314,33.848954,-84.290788
644315,33.8859135,-84.2753654
644375,33.696483,-84.1640307
644397,33.7742194,-84.11663
644399,33.7858454,-84.254631
644401,33.734473,-84.202464
644406,33.8964192,-84.3108931
644407,33.831971,-84.1956809
644409,33.7270336,-84.30744
644410,33.7592921,-84.2673029
644475,33.6893847,-84.2407218
644497,33.7745962,-84.1245479
644500,33.7984364,-84.1980707
644503,33.83269,-84.1946088
644506,33.833079,-84.2121524
644507,33.8051572,-84.1739699
644510,33.8292468,-84.3205938
644575,33.8155162,-84.1899131
